JobID;JobName;Partition;State;ExitCode;Elapsed;ElapsedRaw;Start;End;NodeList;AllocCPUS;NNodes;Reason;Timelimit;TimelimitRaw;WorkDir;ReqMem;MaxRSS;CPUTime;CPUTimeRAW
6949259;ecm_opt;tornado;FAILED;2:0;00:00:04;4;2026-04-25T01:52:52;2026-04-25T01:52:56;n01p079;56;1;None;2-00:00:00;2880;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:03:44;224
6949259.batch;batch;;FAILED;2:0;00:00:04;4;2026-04-25T01:52:52;2026-04-25T01:52:56;n01p079;56;1;;;;;0n;0;00:03:44;224
6967265;ecm_plan;tornado;COMPLETED;0:0;01:20:20;4820;2026-04-28T01:45:41;2026-04-28T03:06:01;n01p381;56;1;None;3-00:00:00;4320;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;3-02:58:40;269920
6967265.batch;batch;;COMPLETED;0:0;01:20:20;4820;2026-04-28T01:45:41;2026-04-28T03:06:01;n01p381;56;1;;;;;0n;3716K;3-02:58:40;269920
6967265.0;ecm-optimizer;;COMPLETED;0:0;01:20:20;4820;2026-04-28T01:45:41;2026-04-28T03:06:01;n01p381;28;1;;;;;0n;536372K;1-13:29:20;134960
6973139;ecm_plan;tornado;COMPLETED;0:0;00:57:46;3466;2026-04-28T16:51:24;2026-04-28T17:49:10;n01p050;56;1;None;3-00:00:00;4320;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;2-05:54:56;194096
6973139.batch;batch;;COMPLETED;0:0;00:57:46;3466;2026-04-28T16:51:24;2026-04-28T17:49:10;n01p050;56;1;;;;;0n;3720K;2-05:54:56;194096
6973139.0;ecm-optimizer;;COMPLETED;0:0;00:57:46;3466;2026-04-28T16:51:24;2026-04-28T17:49:10;n01p050;28;1;;;;;0n;989488K;1-02:57:28;97048
6977100;ecm_plan;tornado;COMPLETED;0:0;00:35:29;2129;2026-04-29T14:05:39;2026-04-29T14:41:08;n01p078;56;1;None;3-00:00:00;4320;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;1-09:07:04;119224
6977100.batch;batch;;COMPLETED;0:0;00:35:29;2129;2026-04-29T14:05:39;2026-04-29T14:41:08;n01p078;56;1;;;;;0n;3720K;1-09:07:04;119224
6977100.0;ecm-optimizer;;COMPLETED;0:0;00:35:28;2128;2026-04-29T14:05:40;2026-04-29T14:41:08;n01p078;28;1;;;;;0n;645520K;16:33:04;59584
6977576;ecm_gitcheck;tornado;COMPLETED;0:0;00:00:01;1;2026-04-29T15:38:04;2026-04-29T15:38:05;n01p254;56;1;None;00:05:00;5;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:00:56;56
6977576.batch;batch;;COMPLETED;0:0;00:00:01;1;2026-04-29T15:38:04;2026-04-29T15:38:05;n01p254;56;1;;;;;0n;0;00:00:56;56
6977597;ecm_gitcheck;tornado;COMPLETED;0:0;00:00:01;1;2026-04-29T15:43:04;2026-04-29T15:43:05;n01p267;56;1;None;00:05:00;5;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:00:56;56
6977597.batch;batch;;COMPLETED;0:0;00:00:01;1;2026-04-29T15:43:04;2026-04-29T15:43:05;n01p267;56;1;;;;;0n;0;00:00:56;56
6977598;ecm_gitcheck;tornado;COMPLETED;0:0;00:00:00;0;2026-04-29T15:44:50;2026-04-29T15:44:50;n01p149;56;1;None;00:05:00;5;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:00:00;0
6977598.batch;batch;;COMPLETED;0:0;00:00:00;0;2026-04-29T15:44:50;2026-04-29T15:44:50;n01p149;56;1;;;;;0n;0;00:00:00;0
